"En France, pour qui la loi est-elle la même?",Seulement pour les élus,Seulement pour les citoyens français,Pour toutes les personnes,Seulement pour les personnes malades,c,L'égalité devant la loi signifie que la loi est la même pour toutes les personnes.,fr,L'égalité,CSP
Qui possède les mêmes droits civiques en France?,Tous les citoyens français,Toutes les personnes résidant en France,Uniquement les personnes âgées,Uniquement les étudiants,a,Tous les citoyens français ont les mêmes droits civiques.,fr,L'égalité,CSP
Lequel de ces droits est un droit civique?,Le droit de voter,Le droit à la santé,Le droit à l'éducation,Le droit au logement,a,Voter est listé comme un exemple de droit civique.,fr,L'égalité,CSP
Lequel de ces domaines fait partie des droits sociaux accessibles à tous?,Payer moins d'impôts,Participer à un conseil municipal,Se présenter à une élection,La santé,d,La santé est citée comme un exemple de droits sociaux.,fr,L'égalité,CSP
Qui peut bénéficier des services publics de santé et d'éducation?,Seulement les personnes sans emploi,Seulement les citoyens français,Seulement les étudiants,Chaque personne qui en a besoin,d,Chaque personne peut et doit bénéficier des services publics dont elle a besoin.,fr,L'égalité,CSP
Quel est le devoir de chaque personne envers les services publics?,Les diriger,Les financer seule,Les remplacer par des services privés,Respecter les règles qui organisent leur fonctionnement,d,Chacun a le devoir de respecter les règles qui organisent le fonctionnement de ces services publics.,fr,L'égalité,CSP
Peut-on refuser l'accès à un service public à cause d'un handicap?,"Non, la loi l'interdit",Seulement à l'hôpital,"Oui, c'est autorisé",Seulement pour les étrangers,a,La loi interdit de limiter l’accès selon certains critères comme le handicap.,fr,L'égalité,CSP
Quelle règle s'applique à toute personne malade?,Elle perd ses droits civiques,Elle doit être soignée,Elle doit payer plus cher,Elle ne peut pas voter,b,Toute personne malade doit être soignée.,fr,L'égalité,CSP
Le principe d'égalité interdit-il de traiter différemment des personnes dans des situations différentes?,Seulement pour les étudiants,Seulement dans la Constitution,"Oui, c'est totalement interdit","Non, il ne l'empêche pas",d,Le principe de l’égalité n’empêche pas de traiter différemment des personnes qui sont dans des situations différentes.,fr,L'égalité,CSP
Pour qui les tarifs d'un service peuvent-ils être différents?,Pour les personnes ayant la même orientation sexuelle,Pour les personnes de même origine,Pour les hommes et les femmes,Pour les étudiants,d,Les étudiants sont cités comme exemple de personnes pouvant bénéficier d'un tarif différent.,fr,L'égalité,CSP
Laquelle de ces options est un droit social?,L'éducation,Se présenter à une élection,Participer au conseil municipal,Le droit de vote,a,L'éducation est listée parmi les droits sociaux.,fr,L'égalité,CSP
Comment s'appelle l'égalité qui concerne la participation à un conseil municipal?,L'égalité de traitement,L'égalité des droits civiques,L'égalité des droits sociaux,L'égalité devant la loi,b,Participer à un conseil municipal est un exemple de droits civiques.,fr,L'égalité,CSP
Quel service public est chargé de protéger les personnes?,L'emploi,L'éducation,La sécurité,Le logement,c,La sécurité est citée parmi les besoins en services publics.,fr,L'égalité,CSP
En quelle année a été rédigée la Constitution?,2000,1789,1945,1958,d,La Constitution de 1958.,fr,L'égalité,CSP
Qui a accès aux droits sociaux?,Uniquement les citoyens français,Uniquement les personnes âgées,Uniquement les femmes,Tous,d,Les droits sociaux sont accessibles à tous.,fr,L'égalité,CSP
"Quel autre groupe de personnes, en plus des étudiants, peut bénéficier de tarifs différents?",Les personnes malades uniquement,Les personnes sans emploi,Les hommes exclusivement,Les citoyens étrangers uniquement,b,Les personnes sans emploi sont citées dans l'exemple des tarifs différents.,fr,L'égalité,CSP
Lequel de ces éléments n'est pas un critère de discrimination interdit par la loi?,L'origine ethnique,Le sexe (homme ou femme),La couleur des cheveux,L'orientation sexuelle,c,"La couleur des cheveux n'est pas mentionnée, contrairement aux autres critères qui sont interdits par la loi.",fr,L'égalité,CSP
Le droit à l'emploi fait partie de quelle catégorie d'égalité?,L'égalité tarifaire,Les droits sociaux,Les droits civiques,L'égalité devant la loi,b,L'emploi est listé parmi les droits sociaux.,fr,L'égalité,CSP
Quel mot décrit le mieux le lien entre les citoyens français et les élections?,L'égalité des droits sociaux,L'interdiction,Le traitement différent,L'égalité des droits civiques,d,Voter et se présenter à une élection font partie des droits civiques.,fr,L'égalité,CSP
L'égalité est-elle seulement présente dans la Constitution?,"Non, aussi dans la Déclaration des droits de l'homme","Oui, depuis 1789","Oui, uniquement","Non, seulement dans les règlements des services publics",a,Elle est aussi présente dans la Déclaration des droits de l’homme et du citoyen.,fr,L'égalité,CSP
Comment la loi garantit-elle l'égalité fondamentale entre les individus?,En donnant plus de droits aux étudiants,En limitant l'accès aux soins,En supprimant le conseil municipal,En s'appliquant de la même manière pour toutes les personnes,d,L'égalité devant la loi signifie que la loi est la même pour toutes les personnes.,fr,L'égalité,CR
Quelle est la principale différence entre les droits civiques et les droits sociaux?,"Les droits civiques concernent les citoyens français, les droits sociaux sont accessibles à tous","Les droits civiques concernent la santé, les sociaux le vote","Les droits sociaux sont réservés aux élus, les droits civiques à tous",Il n'y a aucune différence,a,"Les droits civiques sont pour tous les citoyens français, tandis que les droits sociaux sont accessibles à tous.",fr,L'égalité,CR
Que signifie l'égalité devant la loi?,Que seules les personnes sans emploi respectent la loi,Que les lois changent selon l'origine de la personne,Que la loi est identique pour chaque personne,Que les citoyens français ont plus de lois à respecter,c,L'égalité devant la loi signifie que la loi est la même pour toutes les personnes.,fr,L'égalité,CR
Pourquoi un étudiant et une personne âgée peuvent-ils payer des tarifs différents pour un même service?,Parce que l'égalité sociale a été supprimée en 1958,Parce que le principe d'égalité ne s'applique pas à eux,Parce qu'ils n'ont pas de droits civiques,Parce que la loi autorise un traitement différent pour des situations différentes,d,Le principe d’égalité n’empêche pas de traiter différemment des personnes dans des situations différentes.,fr,L'égalité,CR
Quel rôle jouent les règles dans le fonctionnement des services publics?,Elles s'appliquent uniquement aux personnes malades,Elles remplacent la Constitution de 1958,Elles doivent être respectées par chacun pour garantir l'accès de tous,Elles servent à exclure certaines origines ethniques,c,Chacun a le devoir de respecter les règles qui organisent le fonctionnement de ces services publics pour en bénéficier.,fr,L'égalité,CR
"Parmi les actions suivantes, laquelle illustre l'exercice d'un droit civique?",Se faire soigner à l'hôpital,Se présenter à une élection,Chercher un emploi,Trouver un logement,b,Se présenter à une élection est explicitement cité comme un droit civique.,fr,L'égalité,CR
Comment justifie-t-on le fait qu'une personne malade soit soignée?,C'est un traitement de faveur,C'est un droit civique réservé aux citoyens,C'est un exemple de l'absence de limitation d'accès aux services publics,C'est une exception à la Constitution,c,Cela illustre le fait qu'on ne peut pas limiter l'accès aux services de santé.,fr,L'égalité,CR
"Si une mairie refuse d'inscrire un enfant à l'école à cause de son origine ethnique, quelle règle ne respecte-t-elle pas?",L'interdiction de limiter l'accès aux services publics selon certains critères,Le droit civique de vote,Le devoir de financer la sécurité,La règle des tarifs différents,a,La loi interdit de limiter l'accès aux services publics selon l'origine ethnique.,fr,L'égalité,CR
Quel document historique accompagne la Constitution de 1958 pour affirmer l'égalité?,Le recueil des tarifs publics,Le code des droits sociaux,La Déclaration des droits de l'homme et du citoyen,Le registre du conseil municipal,c,La Déclaration des droits de l'homme et du citoyen est l'autre texte.,fr,L'égalité,CR
Le droit au logement est une application de quelle forme d'égalité?,L'égalité des situations,L'égalité des droits civiques,L'égalité devant la loi,L'égalité des droits sociaux,d,Le logement est cité comme faisant partie des droits sociaux.,fr,L'égalité,CR
Quelle relation y a-t-il entre le besoin d'un service public et le devoir du citoyen?,Le citoyen ne doit utiliser les services que s'il a un emploi,Le citoyen n'a aucun devoir envers le service public,Le citoyen doit payer un tarif identique dans tous les cas,Le citoyen qui a besoin d'un service doit en respecter les règles de fonctionnement,d,"Chaque personne doit bénéficier des services dont elle a besoin, par conséquent, chacun a le devoir d'en respecter les règles.",fr,L'égalité,CR
Lequel de ces critères est expressément protégé par la loi contre la limitation d'accès aux services publics?,L'orientation sexuelle,Le niveau de revenu,Le lieu de résidence,La profession exercée,a,L'orientation sexuelle fait partie des critères interdits pour limiter l'accès.,fr,L'égalité,CR
Est-ce que tous les habitants de la France peuvent voter?,"Oui, à condition de travailler","Non, le vote est un droit social réservé aux étudiants","Oui, sans aucune condition","Non, seuls les citoyens français ont ce droit civique",d,"Tous les citoyens français ont les mêmes droits civiques, comme voter.",fr,L'égalité,CR
Comment l'État garantit-il l'égalité dans l'éducation?,En supprimant les règles de fonctionnement,En réservant les écoles aux citoyens français,En appliquant des droits sociaux accessibles à tous,En interdisant les tarifs différents,c,L'éducation est un droit social accessible à tous.,fr,L'égalité,CR
Que signifie le fait que l'égalité soit inscrite dans la Constitution?,C'est uniquement applicable aux fonctionnaires,Cela ne concerne que les droits civiques,C'est une règle temporaire d'un gouvernement,C'est un principe fondamental au plus haut niveau du droit,d,Le fait d'être inscrite dans la Constitution fait de l'égalité un principe fondamental.,fr,L'égalité,CR
